# KTU 1.1 II:1						
126054	pnm	pn(m/m	pnm	n. m. pl. tant. abs. acc.	face	
126055	ˤm	ˤm(I)	ʕm (I)	prep.	to	
126056	lṭpn	lṭpn/	lṭpn	adj. m. sg. abs. gen.	Benevolent	
# KTU 1.1 III:22						
126057	il	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
126058	d	d	d	det. or rel. functor	the one(s) of	
126059	pid	pid/	pỉd	n. m. sg. cstr. nom.	heart	
126060	tk	tk/	tk	n. m. cstr. gen.	centre	
126061	ḫršn	ḫršn(I)/	ḫršn (I)	n. m. sg. cstr. gen.	(divine) mountain	
126062	ġr	ġr(I)/	ġr (I)	n. m. sg. cstr. gen.	mountain	
126063	ks	ks(I)/	ks (I)	n. m. sg. abs. gen.	cup	
# KTU 1.1 III:23						
126064	ygly	!y!gly[	/g-l-y/	vb G prefc. 3 m. sg.	to present oneself	
126065	ḏd	ḏd(I)/	ḏd (I)	n. m. sg. cstr. nom.	breast	
126066	il	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
126067	w	w	w	conj.	and	
126068	ybu	!y!b(ʔ[&u	/b-ʔ/	vb G prefc. 3 m. sg.	to enter	
126069	qrš	qrš/	qrš	n. m. sg. cstr. nom.	private room	
126070	mlk	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	king	
# KTU 1.1 III:24						
126071	ab	ab/	ảb	n. m. sg. cstr. gen.	father	
126072	šnm	šnm/	šnm	DN sg. abs. gen.	Šunama/Shunama/second member of the double-barrelled divine name ṯkmn w šnm, origin unknown	
126073	lpˤn	l(I) pˤn/	l (I); pʕn	prep.; n. f. du. cstr. gen.	to, towards, up to; foot	
126074	il	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/Ilu/El	
126075	yhbr	!y!hbr[	/h-b-r/	vb G prefc. 3 m. sg.	to bow	
126076	w	w	w	conj.	and	
126077	yql	!y!ql[	/q-l/	vb G prefc. 3 m. sg.	to fall (down)	
# KTU 1.1 III:25						
126078	yštḥwy	!y!]š]]t]ḥwy(II)[	/ḥ-w-y/ (II)	vb Št prefc. 3 m. sg.	to prostrate oneself	
126079	w	w	w	conj.	and	
126080	ykbdnh	!y!kbd[:d+nh	/k-b-d/	vb D prefc. 3 m. sg.	to honour	
# KTU 1.1 III:26						
126081	ṯr	ṯr(I)/	ṯr (I)	n. m. sg. cstr. nom.	bull	
126082	il	il(I)/	ỉl (I)	DN m. sg. cstr. gen.	ʾIlu/Ilu/El	
126083	abh	ab/+h	ảb	n. m. cstr. gen.	father	
# KTU 1.1 III:27						
126084	ḥš	ḥš(I)[	/ḥ-š/ (I)	vb G impv. 2	1) to hurry	
126085	bhtm	bht(II)/m	bt (II)	n. m. pl. abs. nom.	house	
126086	tbnn	!t!bn(y[n	/b-n-y/	vb G prefc.	to build	
126087	ḥš	ḥš(I)[	/ḥ-š/ (I)	vb G impv. 2	1) to hurry	
126088	trmmn	!t!rmm[n:l	/r-m/	vb L prefc.	to erect	
126089	hklm	hkl/+m(I)	hkl	n. m. abs. nom.	palace	
# KTU 1.1 III:28						
126090	b	b	b	prep.	in	
126091	tk	tk/	tk	n. m. abs. gen.	centre	
126092		?	?	?	?	
# KTU 1.1 III:29						
126093	bn	bn(I)/	bn (I)	n. m. sg. abs. gen.	son	
126094		?	?	?	?	
# KTU 1.1 III:30						
126095	ax	?	?	?	?	
# KTU 1.1 IV:1						
126096	mrym	mrym/	mrym	n. m. sg. cstr. nom.	height	
126097	ṣpn	ṣpn/	ṣpn	TN/DN sg. cstr. gen.	Ṣapānu/Zaphon/the mountain dwelling of bʕl deified	
# KTU 1.1 IV:2						
126098	gm	g/~m	g	n. m. sg. abs. gen.	(loud) voice	
126099	ṣḥ	ṣḥ[	/ṣ-ḥ/	vb G impv. 2	to exclaim	
126100	l	l(I)	l (I)	prep.	to	
126101	qr	qr(I)/	qr (I)	n. m. sg. abs. gen.	source	
# KTU 1.1 IV:3						
126102	l	l(I)	l (I)	prep.	to	
126103	rḥqm	rḥq/m	rḥq	adj. m. pl. abs. gen.	distant	
126104	lp	?	?	?	?	
# KTU 1.1 IV:4						
126105	ṣḥ	ṣḥ[	/ṣ-ḥ/	vb G impv. 2	to exclaim, shout	
126106	il	il(I)/	ỉl (I)	DN m. sg. abs. nom.	ʾIlu/Ilu/El	
126107	yṯb	yṯb[/	/y-ṯ-b/	vb G act. ptcpl. m. sg. abs. gen.	to sit down	
126108	b	b	b	prep.	in	
126109	mrzḥ	mrzḥ/	mrzḥ	n. m. cstr. gen.	cultic association	
# KTU 1.1 IV:5						
126110	bṯt	bṯ(t(I)/t	bṯt (I)	n. f. sg. abs. gen.	shame	
126111	ˤllmn	ˤllm(y/n	ʕllmy/n	adj. m. sg. abs. nom.	1) eternal b) subst	
126112	k	+k	-k (I)		your(s)	
# KTU 1.1 IV:6						
126113	ilm	il(I)/m	ỉl (I)	n. m. pl. cstr. nom.	god	
126114	bt	bt(II)/	bt (II)	n. m. sg. cstr. gen.	1) house	
126115	bˤlk	bˤl(II)/+k	bʕl (II)	n. m. cstr. gen.	lord	
126116	x	?	?	?	?	
# KTU 1.1 IV:7						
126117	d	d	d	det. or rel. functor	the one(s) of	
126118	l	l(II)	l (II)	adv.	no	
126119	ylkn	!y!(hlk[n	/h-l-k/	vb G prefc. 3 m. sg.	to go, go away	
126120	ḥš	ḥš(I)[	/ḥ-š/ (I)	vb G impv. 2	1) to hurry	
126121	b	b	b	prep.	in	
126122	arṣ	arṣ/	ảrṣ	n. f. sg. abs. gen.	earth	
# KTU 1.1 IV:8						
126123	b	b	b	prep.	in	
126124	ˤpr	ˤpr(I)/	ʕpr (I)	n. m. sg. cstr. gen.	1) dust b) meton	
126125	ḫbl	ḫbl(I)/	ḫbl (I)	n. m. pl. cstr. gen.	ruins	
126126	ṭtm	ṭt/m	ṭt	n. f. pl. abs. gen.	mud	
126127	x	?	?	?	?	
# KTU 1.1 IV:9						
126128	šqy	šqy[	/š-q-y/	vb G suffc. 3 m. sg.	to offer (something to) drink	
126129	rṯn	rṯn/	rṯn	n. m. sg. cstr. nom.	dirt	
126130	tnmy	tnmy/	tnmy	n. m. sg. abs. gen.	overflow	
126131	ytn	!y!(ytn[	/y-t-n/	vb G prefc. 3 m. sg.	to give, hand over, grant, bestow	
126132	ks	ks(I)/	ks (I)	n. m. sg. abs. nom.	cup	
126133	b	b	b	prep.	in	
126134	yd	yd(I)/	yd (I)	n. f. sg. cstr. gen.	hand	
# KTU 1.1 IV:10						
126135	krpn	krpn/	krpn	n. m. sg. abs. gen.	cup	
126136	b	b	b	prep.	in	
126137	klat	kla(t/t	klảt(n)	n. f. sg. cstr. gen.	both	
126138	yd	yd(I)/	yd (I)	n. f. sg. abs. gen.	1) hand a) yrḥṣ ydh ảmth he washed his hands up to the elbow	
126139	x	?	?	?	?	
# KTU 1.1 IV:11						
126140	k	k(I)	k (I)	prep.	like	
126141	mll	mll/	mll	n. m. sg. abs. gen.	waste	
126142	k	k(I)	k (I)	prep.	like	
126143	ḥṣ	ḥṣ/	ḥṣ	n. m. sg. abs. gen.	gravel	
126144	tusp	!t!(ʔ&usp[:pass	/ʔ-s-p/	vb Gpass prefc.	to be gathered, collected	
# KTU 1.1 IV:12						
126145	tgr	]t]gr[:d	/g-r(-y)/	vb tD suffc.	to oppose	
126146	il	il(I)/	ỉl (I)	DN m. sg. cstr. nom.	ʾIlu/Ilu/El	
126147	bnh	bn(I)/+h	bn (I)	n. m. cstr. gen.	2) son of DN a) in mythological texts	
126148	ṯr	ṯr(I)/	ṯr (I)	n. m. pl. abs. nom.	2) bull b) title of honour	
126149		?	?	?	?	
# KTU 1.1 IV:13						
126150	w	w	w	conj.	and	
126151	yˤn	!y!ˤn(y(I)[	/ʕ-n-y/ (I)	vb G prefc. 3 m. sg.	to answer	
126152	lṯpn	l(ṭ&ṯpn/	lṭpn	adj. m. sg. abs. nom.	Benevolent	
126153	il	il(I)/	ỉl (I)	DN m. sg. abs. nom.	ʾIlu/Ilu/El	
126154	d	d	d	det. or rel. functor	the one(s) of	
126155	pid	pid/	pỉd	n. m. sg. cstr. nom.	heart	
# KTU 1.1 IV:14						
126156	šm	šm(I)/	šm (I)	n. m. sg. cstr. gen.	name	
126157	bny	bn(I)/+y	bn (I)	n. m. cstr. gen.	2) son of DN a) in mythological texts	
126158	yw	yw/	yw	DN sg. abs. nom.	alternative (ancient?) name of the god ym	
126159	ilt	il(t(I)/t	ỉlt (I)	n. f. sg. abs. nom.	2) “the Goddess”	
# KTU 1.1 IV:15						
126160	w	w	w	conj.	and	
126161	pˤr	pˤr[	/p-ʕ-r/	vb G suffc. 3 m. sg.	to open one’s mouth > to shout, proclaim > to open the mouth > to gape, yawn, open wide > to open the mouth	
126162	šm	šm(I)/	šm (I)	n. m. sg. cstr. nom.	name	
126163	ym	ym(II)/	ym (II)	n. m. sg. abs. gen.	2) DN	
# KTU 1.1 IV:16						
126164	tˤnyn	!t!ˤny(I)[+n	/ʕ-n-y/ (I)	vb G prefc.	1) to answer	
126165	l	l(I)	l (I)	prep.	to	
126166	zntn	zn(t/t+n	znt	n. f. sg. abs. gen.	sustenance	
